open,high,low,close,volume,rsi_7,rsi_14,cci_7,cci_14,sma_50,ema_50,sma_100,ema_100,macd,bollinger,TrueRange,atr_7,atr_14,next_day_close
314.07901,315.838989,313.565002,315.032013,7860650,100,100,-66.66666667,-66.66666667,314.64050299999997,314.64833319999997,314.64050299999997,314.64441809999994,0.01756775641024433,314.64050299999997,2.2739870000000337,4.193073153846171,4.275996629629647,281.082001
314.846008,315.149994,281.082001,281.082001,33054400,1.9385825528957241,2.0967438397822775,-100,-100,303.4543356666666,303.0090810933209,303.4543356666666,303.2324579374354,-1.030403032,303.4543356666666,34.067993,15.719617031496073,14.951008126142609,264.195007
281.145996,287.230011,257.612,264.195007,55629100,1.2355063949826928,1.3754207781324652,-110.6938962,-110.6938962,293.6395035,292.71574694187524,293.6395035,293.1783821604405,-2.091486615,293.6395035,29.618010999999967,20.033779141176467,19.034849413394216,274.473999
265.084015,278.341003,265.084015,274.473999,43962800,21.462824998138473,19.523694967258635,-76.48735688,-76.48735688,289.8064026,288.76981289000673,289.8064026,289.2863893425219,-2.215007757,289.8064026,14.145996000000025,18.468441158454215,17.907070244777255,286.188995
274.610992,287.553009,272.696014,286.188995,23245700,38.27235553915163,34.35078726787485,-37.07024357,-37.07024357,289.20350133333335,288.2955400814832,289.20350133333335,288.74400471230354,-1.746685844,289.20350133333335,14.856994999999984,17.613461433901932,17.3001263438775,294.337006
286.076996,298.753998,283.07901,294.337006,24866800,47.4065135833862,42.311812533718275,2.9456546418749054,2.9456546418749054,289.93685914285714,289.26555271555696,289.93685914285714,289.591735617023,-1.047141755,289.93685914285714,15.674988000000042,17.19393140388922,17.01332120163743,283.348999
294.13501,294.13501,282.174988,283.348999,19982500,38.45400901309474,35.975974697085846,-3.927279192,-21.76372778,289.1133766,288.4183931543342,289.1133766,288.75568858084705,-1.083826829,289.1133766,12.16201799999999,16.179534978665114,16.238551999683455,290.40799
282.382996,291.114014,280.53299,290.40799,18718600,46.085087637881,41.9860917600161,37.630321478506545,-17.18202221,289.25722255555553,288.6764436110453,289.25722255555553,288.95430380898813,-0.742517427,289.25722255555553,10.581024000000014,15.113529014771258,15.408314984461533,274.79599
287.303009,288.127014,273.966003,274.79599,15264300,34.91491563985926,34.31402726011552,-24.38720671,-58.93094448,287.81109929999997,287.02553194880113,287.81109929999997,287.4076862099798,-1.293762788,287.81109929999997,16.441986999999983,15.354996945462235,15.549380289098323,265.660004
274.608002,279.638,265.039001,265.660004,18200800,29.957565125194208,30.770594120005043,-117.0889393,-97.78048586,285.79736336363635,284.6719908927406,285.79736336363635,285.2270516281884,-2.160682348,285.79736336363635,14.598998999999992,15.222728886468078,15.427602301011348,267.79599
266.145996,272.203003,265.200012,267.79599,18880300,32.569050924571314,32.52497255524672,-116.0963405,-95.17148157,284.29724891666666,282.9361399758434,284.29724891666666,283.6094113940884,-2.649536913,284.29724891666666,7.002991000000009,13.829347192905416,14.406037174498199,225.860992
267.394012,268.277008,219.906006,225.860992,72843904,17.5670295506999,21.177991093942993,-181.2819639,-199.9782937,279.80215223076925,277.4167146931399,279.80215223076925,278.6148379069075,-5.345768794,279.80215223076925,48.37100200000003,19.53268211797769,18.32912422396733,178.102997
223.893997,223.893997,171.509995,178.102997,97638704,10.897570478423944,14.831817762592522,-176.7402145,-273.138124,272.53792685714285,268.3347406114734,272.53792685714285,270.4651921604018,-10.06237443,272.53792685714285,54.35099700000001,25.156524697846,22.314150745163502,209.843994
176.897003,229.067001,176.897003,209.843994,81773504,31.16226711204105,29.872703916399104,-90.84792644,-172.7140268,268.3583313333333,263.25142790792444,268.3583313333333,265.8337498720809,-11.6074553,268.3583313333333,52.16999799999999,29.439795240585823,25.49245480844096,208.097
209.070007,221.591003,199.770996,208.097,38421000,30.713727577943885,29.56324451995414,-60.74105471,-119.6235492,264.5919981,258.6762678117288,264.5919981,261.658962142699,-12.73991466,264.5919981,21.820007000000004,28.250277067149046,25.114734584672554,199.259995
207.834,211.731003,194.875,199.259995,23469700,28.309046936543268,27.98404156602875,-58.56821726,-108.5825617,260.74893911764707,253.95410889729334,260.74893911764707,257.3721428911717,-13.99234557,260.74893911764707,16.856002999999987,26.494790964372832,24.291183053035677,210.339005
200.050003,218.695007,194.505997,210.339005,30085100,35.67527956520277,32.82856452701732,-31.52528126,-80.0200737,257.9483872222222,250.6219159869668,257.9483872222222,254.291591967236,-14.08120204,257.9483872222222,24.189009999999996,26.14348354603532,24.28127477802099,214.860992
211.470993,216.727997,207.317993,214.860992,18658300,38.67574416684234,34.757707973789124,24.674204472594248,-60.31763142,255.68062957894736,247.98773248062847,255.68062957894736,251.82184424331817,-13.68813635,255.68062957894736,9.410003999999986,23.61797855361862,22.87505158202406,211.315002
212.906998,215.240997,205.153,211.315002,24051100,37.092836327353005,33.93467642060247,61.70470896800262,-56.66629863,253.4623482,245.37633472024365,253.4623482,249.3888969789466,-13.45114688,253.4623482,10.087997000000001,21.592305769316464,21.69324776456608,226.897003
211.378006,227.787994,211.212006,226.897003,29924600,48.00292698728256,40.591738454704284,181.20830723921105,-27.92285435,252.19733176190476,244.10124862168777,252.19733176190476,248.09025880160547,-12.07593065,249.0947487,16.575987999999995,20.846393144208104,21.230025494368558,233.406006
227.322006,237.018997,226.434006,233.406006,33544600,52.05527831525524,43.16793163877544,162.241313332625,2.716104510118446,251.3431805909091,243.38461473609448,251.3431805909091,247.27340678600726,-10.43073471,245.0134484,10.584991000000002,19.329410263111313,20.284473897779264,232.878998
